Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32874,194952,226148.9023,NA,102142.75,NA,NA,NA,NA,82083.125,NA,79641.89286,85892,NA,NA,NA,215337.926,NA,346153,NA,140000,83889,93291,233333,178888,NA,231273.8907,182220,NA,136832.0424,123000,NA,128806,180484,287499,105000,227522.3593,NA,273071.2912,271840,250000,NA,NA,NA,174022,NA,NA,NA,NA,86999.3,NA,250410,NA,NA,,141519,203389.5433,NA,NA,NA,NA,227365.8343,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32905,196273,219306,NA,83333,NA,NA,NA,NA,87186.78125,NA,83571.07143,80294,NA,NA,NA,208399.1179,NA,338333,NA,116665.8333,77499,NA,187856,186363,NA,233655.5767,182630,NA,136021.2715,126900,NA,124545,180714,300877,102500,236377.2576,NA,259668.4321,273100,261607,NA,NA,NA,180294,NA,NA,NA,NA,84374.5625,NA,235760,NA,NA,,144965,211024.1146,NA,NA,NA,NA,234739.4572,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32933,194856,225162,NA,100000,NA,NA,NA,NA,83888.5,NA,88888,87758,NA,NA,NA,208134.8627,NA,358571,NA,111428,85909,NA,230555,180000,NA,242312.4975,179470,NA,135835.1774,127500,NA,127017,183701,290151,117692,216010.0363,NA,253300.9919,275500,260577,NA,NA,NA,178823,NA,NA,NA,NA,84210.10526,NA,240320,NA,NA,,141132,209286.0926,NA,NA,NA,NA,235336.5015,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32964,196111,229333,NA,107999.6,NA,NA,NA,NA,85428.02857,NA,83499.65,80323,NA,NA,NA,219003.9896,NA,359574,NA,133332.6667,84285,NA,238095,158571,NA,239380.4948,200000,NA,134629.0715,135500,NA,131485,181567,288725,112692,189245.5364,NA,217363.2252,274660,255263,NA,NA,NA,184117,NA,NA,NA,NA,88927.67857,NA,230620,NA,NA,,145707,210301.5894,NA,NA,NA,NA,233178.4961,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32994,195281,232291,NA,100000,NA,NA,NA,NA,88749.125,NA,79061.59375,86562,NA,NA,NA,209065.0242,NA,374999,NA,138749.0625,100000,NA,259375,187692,NA,256401.3846,194610,NA,140823.4717,138000,NA,130538,180794,282626,112778,199325.0545,NA,227608.8979,266670,262500,NA,NA,NA,185844,NA,NA,NA,NA,85999.4,NA,235320,NA,NA,,146060,210147.7479,NA,NA,NA,NA,235881.3616,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33025,194410,231250,NA,123043.3261,NA,NA,NA,NA,87999.2,NA,94545,87499,NA,NA,NA,210605.8957,NA,394185,NA,145999.7,92000,NA,190833,177332,NA,244364.4184,187600,NA,139951.6534,142000,NA,130769,186733,305738,112666,223021.3259,NA,269120.6234,276960,238461,NA,NA,NA,185333,NA,NA,NA,NA,88332.5,NA,242310,NA,NA,,147523,209926.8563,NA,NA,NA,NA,240385.7059,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33055,193088,232916,NA,113570.75,NA,NA,NA,NA,91346.01923,NA,107691.9231,88780,NA,NA,NA,225250.7141,NA,357291,NA,163999.8,116249,NA,196363,184166,NA,236108.8377,183890,NA,143126.6146,145000,NA,131481,185861,296195,106999,213109.5476,NA,234261.3732,273600,234722,NA,NA,NA,185333,NA,NA,NA,NA,94411.32353,NA,236920,NA,NA,,144931,208581.8037,NA,NA,NA,NA,241503.0036,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33086,192180,228467,NA,113332.6667,NA,NA,NA,NA,95178.05357,NA,94444,86477,NA,NA,NA,213478.4897,NA,365217,NA,143333.1667,97222,NA,208823,172499,NA,234907.6625,205450,NA,143827.1702,142000,NA,129601,185639,284523,118076,233726.9575,NA,210623.3537,273340,269078,NA,NA,NA,180270,NA,NA,NA,NA,92083.125,NA,231200,NA,NA,,145204,199723.973,NA,NA,NA,NA,237727.0819,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33117,189979,225000,NA,117499.125,NA,NA,NA,NA,92499.75,NA,93999.6,92812,NA,NA,NA,211552.0024,NA,337500,NA,147499.625,96999,NA,192000,177499,NA,226249.9547,189170,NA,144070.0834,139000,NA,126497,186272,278301,111667,206346.2285,NA,214462.4947,258060,256250,NA,NA,NA,182308,NA,NA,NA,NA,83749.625,NA,239930,NA,NA,,141080,193597.3464,NA,NA,NA,NA,225568.5774,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33147,187630,221093,NA,127142.5,NA,NA,NA,NA,96891.2027,NA,91249.875,87386,NA,NA,NA,207801.3843,NA,351851,NA,125999.7,105000,NA,192727,197777,NA,229611.7387,185710,NA,139775.1233,136700,NA,126666,179444,272500,122143,174676.8986,NA,214053.9855,253470,245833,NA,NA,NA,183414,NA,NA,NA,NA,90000,NA,238220,NA,NA,,141350,199908.7037,NA,NA,NA,NA,227917.1482,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
